entry_id,date,narration,debit,credit
LDG00020,2026-07-02,NEFT CR-RAZORPAY SOFTWARE-2026000248hs1lt4-SETTLEMENT,0,2066036
LDG00021,2026-08-03,NEFT CR-RAZORPAY SOFTWARE-202600026335efs5-SETTLEMENT,0,2085987
LDG00011,2026-07-13,NEFT CR-RAZORPAY SOFTWARE-20260001399pdvdu-SETTLEMENT,0,451482
LDG00026,2026-08-02,GST PAYMENT-CHALLAN,1157831,0
LDG00001,2026-07-06,NEFT CR-RAZORPAY SOFTWARE-2026000020p3eiw8-SETTLEMENT,0,1798572
LDG00003,2026-08-06,NEFT CR-RAZORPAY SOFTWARE-2026000028uydugd-SETTLEMENT (PARTIAL),0,1302669
LDG00023,2026-08-03,AUTOPAY-ELECTRICITY BOARD,0,1410833
LDG00013,2026-07-31,NEFT CR-RAZORPAY SOFTWARE-2026000165lf00ry-SETTLEMENT,0,1999365
LDG00029,2026-07-18,FD INTEREST CREDIT,0,1158247
LDG00022,2026-08-05,SALARY CREDIT-ACME PAYROLL,0,201300
LDG00025,2026-07-13,ATM WDL-MG ROAD BRANCH,0,728447
LDG00012,2026-07-02,NEFT CR-RAZORPAY SOFTWARE-20260001455wfjmn-SETTLEMENT,0,567338
LDG00002,2026-07-06,NEFT CR-RAZORPAY SOFTWARE-2026000020p3eiw8-SETTLEMENT,0,1798572
LDG00006,2026-07-05,NEFT CR-RAZORPAY SOFTWARE-20260000738rxczx-SETTLEMENT,0,625129
LDG00027,2026-07-05,RTGS CR-VENDOR REFUND,0,1135959
LDG00014,2026-07-02,NEFT CR-RAZORPAY SOFTWARE-2026000175kxd4s6-SETTLEMENT (PARTIAL),0,1865924
LDG00004,2026-07-30,NEFT CR-RAZORPAY SOFTWARE-20260000447nig2c-SETTLEMENT,0,3147046
LDG00015,2026-07-13,NEFT CR-RAZORPAY SOFTWARE-202600018330ismb-SETTLEMENT,0,1318645
LDG00005,2026-07-11,IMPS/TRANSFER REF 202600-0058frby1u SETTLE,0,1794170
LDG00016,2026-08-11,NEFT CR-RAZORPAY SOFTWARE-2026000199q798nh-SETTLEMENT,0,2041012
LDG00007,2026-08-12,NEFT CR-RAZORPAY SOFTWARE-2026000081aqgec1-SETTLEMENT,0,2272636
LDG00019,2026-07-24,NEFT CR-RAZORPAY SOFTWARE-2026000237tea8xs-SETTLEMENT,0,1890141
LDG00010,2026-08-10,NEFT CR-RAZORPAY SOFTWARE-2026000124q58yuo-SETTLEMENT,0,682168
LDG00028,2026-08-02,CREDIT CARD BILL PAYMENT,1535037,0
LDG00024,2026-07-07,UPI-VENDOR PAYMENT-9876543210,2213908,0
LDG00009,2026-08-12,NEFT CR-RAZORPAY SOFTWARE-2026000110a3gkft-SETTLEMENT,0,1913293
LDG00018,2026-07-26,NEFT CR-RAZORPAY SOFTWARE-2026000229o80gef-SETTLEMENT,0,3035137
LDG00017,2026-07-01,NEFT CR-RAZORPAY SOFTWARE-20260002126mx4en-SETTLEMENT,0,2326609
