entity_id,type,order_id,amount,fee,tax,settled_amount,settlement_id,settlement_utr,settled_at
pay_200001RP,payment,order_300002RP,81326,1919,345,79062,setl_100001RP,2026000020vxp0rj,2026-07-06
pay_200002RP,payment,order_300003RP,521845,12316,2217,507312,setl_100001RP,2026000020vxp0rj,2026-07-06
pay_200003RP,payment,order_300004RP,854181,20159,3629,830393,setl_100001RP,2026000020vxp0rj,2026-07-06
pay_200004RP,payment,order_300005RP,578545,13654,2458,562433,setl_100001RP,2026000020vxp0rj,2026-07-06
pay_200005RP,payment,order_300006RP,537107,12676,2282,522149,setl_100001RP,2026000020vxp0rj,2026-07-06
pay_200006RP,payment,order_300007RP,83720,1976,356,81388,setl_100001RP,2026000020vxp0rj,2026-07-06
pay_200007RP,payment,order_300008RP,879242,20750,3735,854757,setl_100002RP,2026000027vxp0rj,2026-08-07
pay_200008RP,payment,order_300009RP,70427,1662,299,68466,setl_100002RP,2026000027vxp0rj,2026-08-07
pay_200009RP,payment,order_300010RP,776768,18332,3300,755136,setl_100002RP,2026000027vxp0rj,2026-08-07
pay_200010RP,payment,order_300011RP,281860,6652,1197,274011,setl_100002RP,2026000027vxp0rj,2026-08-07
pay_200011RP,payment,order_300012RP,155402,3667,660,151075,setl_100002RP,2026000027vxp0rj,2026-08-07
pay_200012RP,payment,order_300013RP,119558,2822,508,116228,setl_100003RP,2026000042vxp0rj,2026-07-20
pay_200013RP,payment,order_300014RP,526848,12434,2238,512176,setl_100003RP,2026000042vxp0rj,2026-07-20
pay_200014RP,payment,order_300015RP,193348,4563,821,187964,setl_100003RP,2026000042vxp0rj,2026-07-20
pay_200015RP,payment,order_300016RP,114665,2706,487,111472,setl_100003RP,2026000042vxp0rj,2026-07-20
pay_200016RP,payment,order_300017RP,649436,15327,2759,631350,setl_100003RP,2026000042vxp0rj,2026-07-20
pay_200017RP,payment,order_300018RP,520900,12293,2213,506394,setl_100003RP,2026000042vxp0rj,2026-07-20
pay_200018RP,payment,order_300019RP,401905,9485,1707,390713,setl_100004RP,2026000061vxp0rj,2026-07-14
pay_200019RP,payment,order_300020RP,303208,7156,1288,294764,setl_100004RP,2026000061vxp0rj,2026-07-14
pay_200020RP,payment,order_300021RP,539339,12728,2291,524320,setl_100004RP,2026000061vxp0rj,2026-07-14
pay_200021RP,payment,order_300022RP,424170,10010,1802,412358,setl_100004RP,2026000061vxp0rj,2026-07-14
pay_200022RP,payment,order_300023RP,290697,6860,1235,282602,setl_100004RP,2026000061vxp0rj,2026-07-14
pay_200023RP,payment,order_300024RP,529649,12500,2250,514899,setl_100005RP,2026000067vxp0rj,2026-07-12
pay_200024RP,payment,order_300025RP,486821,11489,2068,473264,setl_100005RP,2026000067vxp0rj,2026-07-12
pay_200025RP,payment,order_300026RP,791270,18674,3361,769235,setl_100005RP,2026000067vxp0rj,2026-07-12
pay_200026RP,payment,order_300027RP,132617,3130,563,128924,setl_100006RP,2026000080vxp0rj,2026-07-29
pay_200027RP,payment,order_300028RP,393667,9291,1672,382704,setl_100006RP,2026000080vxp0rj,2026-07-29
pay_200028RP,payment,order_300029RP,688613,16251,2925,669437,setl_100006RP,2026000080vxp0rj,2026-07-29
pay_200029RP,payment,order_300030RP,162127,3826,689,157612,setl_100006RP,2026000080vxp0rj,2026-07-29
pay_200030RP,payment,order_300031RP,866857,20458,3682,842717,setl_100007RP,2026000092vxp0rj,2026-08-01
pay_200031RP,payment,order_300032RP,97430,2299,414,94717,setl_100007RP,2026000092vxp0rj,2026-08-01
pay_200032RP,payment,order_300033RP,515426,12164,2190,501072,setl_100007RP,2026000092vxp0rj,2026-08-01
pay_200033RP,payment,order_300034RP,716412,16907,3043,696462,setl_100007RP,2026000092vxp0rj,2026-08-01
pay_200034RP,payment,order_300035RP,741867,17508,3151,721208,setl_100007RP,2026000092vxp0rj,2026-08-01
pay_200035RP,payment,order_300036RP,534409,12612,2270,519527,setl_100008RP,2026000112vxp0rj,2026-07-22
pay_200036RP,payment,order_300037RP,426799,10072,1813,414914,setl_100008RP,2026000112vxp0rj,2026-07-22
pay_200037RP,payment,order_300038RP,760672,17952,3231,739489,setl_100008RP,2026000112vxp0rj,2026-07-22
pay_200038RP,payment,order_300039RP,851773,20102,3618,828053,setl_100008RP,2026000112vxp0rj,2026-07-22
pay_200039RP,payment,order_300040RP,666009,15718,2829,647462,setl_100009RP,2026000118vxp0rj,2026-07-31
pay_200040RP,payment,order_300041RP,299258,7062,1271,290925,setl_100009RP,2026000118vxp0rj,2026-07-31
pay_200041RP,payment,order_300042RP,653366,15419,2775,635172,setl_100010RP,2026000135vxp0rj,2026-08-13
pay_200042RP,payment,order_300043RP,801625,18918,3405,779302,setl_100010RP,2026000135vxp0rj,2026-08-13
pay_200043RP,payment,order_300044RP,331795,7830,1409,322556,setl_100010RP,2026000135vxp0rj,2026-08-13
pay_200044RP,payment,order_300045RP,848264,20019,3603,824642,setl_100010RP,2026000135vxp0rj,2026-08-13
pay_200045RP,payment,order_300046RP,339154,8004,1441,329709,setl_100010RP,2026000135vxp0rj,2026-08-13
pay_200046RP,payment,order_300047RP,81190,1916,345,78929,setl_100011RP,2026000151vxp0rj,2026-08-09
pay_200047RP,payment,order_300048RP,698263,16479,2966,678818,setl_100011RP,2026000151vxp0rj,2026-08-09
pay_200048RP,payment,order_300049RP,827530,19530,3515,804485,setl_100012RP,2026000163vxp0rj,2026-07-16
pay_200049RP,payment,order_300050RP,461861,10900,1962,448999,setl_100012RP,2026000163vxp0rj,2026-07-16
pay_200050RP,payment,order_300051RP,174639,4121,742,169776,setl_100012RP,2026000163vxp0rj,2026-07-16
pay_200051RP,payment,order_300052RP,379331,8952,1611,368768,setl_100012RP,2026000163vxp0rj,2026-07-16
pay_200052RP,payment,order_300053RP,271620,6410,1154,264056,setl_100012RP,2026000163vxp0rj,2026-07-16
pay_200053RP,payment,order_300054RP,272126,6422,1156,264548,setl_100013RP,2026000178vxp0rj,2026-07-09
pay_200054RP,payment,order_300055RP,391208,9233,1662,380313,setl_100013RP,2026000178vxp0rj,2026-07-09
pay_200055RP,payment,order_300056RP,342031,8072,1453,332506,setl_100013RP,2026000178vxp0rj,2026-07-09
pay_200056RP,payment,order_300057RP,799148,18860,3395,776893,setl_100013RP,2026000178vxp0rj,2026-07-09
